;;"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
;;"AVENIDA BALNEÁRIA";"local";519,00;;519,00;;0,00
;;"ESTRADA DO  VERGUEIRO";"local";462,00;;0,00;;462,00
;;"ESTRADA BRASILIO DE LIMA";"local";70,00;;0,00;;70,00
;;"ESTRADA MARTIM AFONSO DE SOUSA";"local";4.044,00;;0,00;;4044,00
;;"PRAÇA EDGARD CAVALHEIRO";"local";260,00;;0,00;;260,00
;;"RUA CARLOS SANTILLI";"local";67,00;;0,00;;67,00
;;"RUA DOUTOR WILSON TEIXEIRA DE MIRANDA";"local";181,00;;0,00;;181,00
;;"RUA FRANCISCO MATTEI";"local";727,00;;0,00;;727,00
;;"RUA FRANKILIN ALVES DOS REIS";"local";47,00;;0,00;;47,00
;;"RUA JOHAN DE ALCÂNTARA SILVA";"local";361,00;;0,00;;361,00
;;"RUA JOSEPHINA VALÉRIO CAPITÂNIO";"local";598,00;;0,00;;598,00
;;"RUA MARIA ALICE / RUA MUTUIPE";"local";200,00;;0,00;;200,00
;;"RUA VICTÓRIO STEFANELLI";"local";370,00;;0,00;;177,46
